period_ps	result	slack_ps	endpoint	cell_count	cell_area	net_area	total_area	seq	inv	buf	logic	unresolved	leak_W	int_W	sw_W	total_W	add169	mul170	barrett
400	VIOLATED	-168	(F) BF2_1_barrett_datai_reg[45]/D	20429	44259.048	16669.731	60928.779	2361	3197	691	14180	4	3.29744e-04	6.59155e-03	8.40944e-03	1.53307e-02	0	4	3
500	VIOLATED	-69	(R) BF1_2_barrett_datai_reg[31]/D	19728	42171.192	16054.366	58225.558	2361	2814	614	13939	4	3.04341e-04	5.22162e-03	6.55360e-03	1.20796e-02	0	4	3
550	VIOLATED	-30	(R) BF1_1_barrett_datai_reg[40]/D	19373	41364.276	15787.223	57151.500	2361	3168	698	13146	4	2.97554e-04	4.59111e-03	5.86787e-03	1.07565e-02	0	5	3
575	VIOLATED	-4	(F) BF2_1_barrett_datai_reg[36]/D	19183	40935.508	15642.711	56578.219	2361	2999	744	13079	4	2.91015e-04	4.38900e-03	5.49343e-03	1.01734e-02	0	5	3
578	MET	0	(R) BF2_2_ajlen5_reg[19]/D	18496	39704.023	15192.384	54896.407	2361	2745	528	12862	4	2.80228e-04	4.22319e-03	5.25372e-03	9.75714e-03	0	0	0
581	MET	0	(F) BF2_1_ajlen2_INTT_reg[21]/D	18960	40010.319	15493.519	55503.838	2361	3071	489	13039	4	2.82279e-04	4.22285e-03	5.32757e-03	9.83271e-03	0	0	0
588	MET	0	(F) BF2_1_ajlen5_reg[22]/D	18551	39330.541	15209.905	54540.446	2361	2823	484	12883	4	2.72856e-04	4.03193e-03	5.13165e-03	9.43643e-03	0	0	0
600	MET	0	(F) BF2_2_aj4_reg[23]/D	17846	38110.954	14735.586	52846.539	2361	2456	231	12798	4	2.60990e-04	3.88154e-03	4.90285e-03	9.04538e-03	12	0	0
